"mu","sigma","item_overlap","class_overlap","add_k","n_preferred","seed","ob_nobs","ow_nobs"
100,1,0.5,0.2,0.001,50,38,9,1
100,1,0.5,0.2,0.001,50,39,9,1
100,1,0.5,0.2,0.001,50,40,15,1
100,1,0.5,0.2,0.001,50,41,15,1
100,1,0.5,0.2,0.001,50,42,9,1
100,1,0.5,0.2,0.001,50,43,15,1
100,1,0.5,0.2,0.001,50,44,9,1
100,1,0.5,0.2,0.001,50,45,15,1
100,1,0.5,0.2,0.001,50,46,9,1
100,1,0.5,0.2,0.001,50,47,15,1
100,1,0.5,0.2,0.001,50,48,9,1
100,1,0.5,0.2,0.001,50,49,9,1
100,1,0.5,0.2,0.001,50,50,15,1
10,1.5,0.5,0.2,0.001,50,1,57,1
10,1.5,0.5,0.2,0.001,50,2,57,1
10,1.5,0.5,0.2,0.001,50,3,57,1
10,1.5,0.5,0.2,0.001,50,4,88,1
10,1.5,0.5,0.2,0.001,50,5,139,1
10,1.5,0.5,0.2,0.001,50,6,57,1
10,1.5,0.5,0.2,0.001,50,7,57,1
10,1.5,0.5,0.2,0.001,50,8,88,1
10,1.5,0.5,0.2,0.001,50,9,57,1
10,1.5,0.5,0.2,0.001,50,10,88,1
10,1.5,0.5,0.2,0.001,50,11,139,1
10,1.5,0.5,0.2,0.001,50,12,88,1
10,1.5,0.5,0.2,0.001,50,13,88,1
10,1.5,0.5,0.2,0.001,50,14,36,1
10,1.5,0.5,0.2,0.001,50,15,57,1
10,1.5,0.5,0.2,0.001,50,16,88,1
10,1.5,0.5,0.2,0.001,50,17,88,1
10,1.5,0.5,0.2,0.001,50,18,57,1
10,1.5,0.5,0.2,0.001,50,19,23,1
10,1.5,0.5,0.2,0.001,50,20,217,1
10,1.5,0.5,0.2,0.001,50,21,88,1
10,1.5,0.5,0.2,0.001,50,22,57,1
10,1.5,0.5,0.2,0.001,50,23,57,1
10,1.5,0.5,0.2,0.001,50,24,57,1
10,1.5,0.5,0.2,0.001,50,25,88,1
10,1.5,0.5,0.2,0.001,50,26,57,1
10,1.5,0.5,0.2,0.001,50,27,88,1
10,1.5,0.5,0.2,0.001,50,28,57,1
10,1.5,0.5,0.2,0.001,50,29,57,1
10,1.5,0.5,0.2,0.001,50,30,139,1
10,1.5,0.5,0.2,0.001,50,31,57,1
10,1.5,0.5,0.2,0.001,50,32,88,1
10,1.5,0.5,0.2,0.001,50,33,57,1
10,1.5,0.5,0.2,0.001,50,34,88,1
10,1.5,0.5,0.2,0.001,50,35,88,1
10,1.5,0.5,0.2,0.001,50,36,57,1
10,1.5,0.5,0.2,0.001,50,37,139,1
10,1.5,0.5,0.2,0.001,50,38,139,1
10,1.5,0.5,0.2,0.001,50,39,23,1
10,1.5,0.5,0.2,0.001,50,40,57,1
10,1.5,0.5,0.2,0.001,50,41,57,1
10,1.5,0.5,0.2,0.001,50,42,36,1
10,1.5,0.5,0.2,0.001,50,43,57,1
10,1.5,0.5,0.2,0.001,50,44,57,1
10,1.5,0.5,0.2,0.001,50,45,36,1
10,1.5,0.5,0.2,0.001,50,46,88,1
10,1.5,0.5,0.2,0.001,50,47,139,1
10,1.5,0.5,0.2,0.001,50,48,88,1
10,1.5,0.5,0.2,0.001,50,49,57,1
10,1.5,0.5,0.2,0.001,50,50,139,1
30,1.5,0.5,0.2,0.001,50,1,23,1
30,1.5,0.5,0.2,0.001,50,2,23,1
30,1.5,0.5,0.2,0.001,50,3,23,1
30,1.5,0.5,0.2,0.001,50,4,23,1
30,1.5,0.5,0.2,0.001,50,5,9,1
30,1.5,0.5,0.2,0.001,50,6,15,1
30,1.5,0.5,0.2,0.001,50,7,23,1
30,1.5,0.5,0.2,0.001,50,8,23,1
30,1.5,0.5,0.2,0.001,50,9,23,1
30,1.5,0.5,0.2,0.001,50,10,23,1
30,1.5,0.5,0.2,0.001,50,11,36,1
30,1.5,0.5,0.2,0.001,50,12,23,1
30,1.5,0.5,0.2,0.001,50,13,23,1
30,1.5,0.5,0.2,0.001,50,14,23,1
30,1.5,0.5,0.2,0.001,50,15,15,1
30,1.5,0.5,0.2,0.001,50,16,23,1
30,1.5,0.5,0.2,0.001,50,17,23,1
30,1.5,0.5,0.2,0.001,50,18,36,1
30,1.5,0.5,0.2,0.001,50,19,23,1
30,1.5,0.5,0.2,0.001,50,20,36,1
30,1.5,0.5,0.2,0.001,50,21,15,1
30,1.5,0.5,0.2,0.001,50,22,15,1
30,1.5,0.5,0.2,0.001,50,23,23,1
30,1.5,0.5,0.2,0.001,50,24,23,1
30,1.5,0.5,0.2,0.001,50,25,23,1
30,1.5,0.5,0.2,0.001,50,26,15,1
30,1.5,0.5,0.2,0.001,50,27,23,1
30,1.5,0.5,0.2,0.001,50,28,23,1
30,1.5,0.5,0.2,0.001,50,29,36,1
30,1.5,0.5,0.2,0.001,50,30,23,1
30,1.5,0.5,0.2,0.001,50,31,23,1
30,1.5,0.5,0.2,0.001,50,32,23,1
30,1.5,0.5,0.2,0.001,50,33,23,1
30,1.5,0.5,0.2,0.001,50,34,36,1
30,1.5,0.5,0.2,0.001,50,35,23,1
30,1.5,0.5,0.2,0.001,50,36,23,1
30,1.5,0.5,0.2,0.001,50,37,23,1
30,1.5,0.5,0.2,0.001,50,38,23,1
30,1.5,0.5,0.2,0.001,50,39,15,1
30,1.5,0.5,0.2,0.001,50,40,23,1
30,1.5,0.5,0.2,0.001,50,41,6,1
30,1.5,0.5,0.2,0.001,50,42,15,1
30,1.5,0.5,0.2,0.001,50,43,23,1
30,1.5,0.5,0.2,0.001,50,44,23,1
30,1.5,0.5,0.2,0.001,50,45,23,1
30,1.5,0.5,0.2,0.001,50,46,23,1
30,1.5,0.5,0.2,0.001,50,47,36,1
30,1.5,0.5,0.2,0.001,50,48,23,1
30,1.5,0.5,0.2,0.001,50,49,23,1
30,1.5,0.5,0.2,0.001,50,50,23,1
60,1.5,0.5,0.2,0.001,50,1,15,1
60,1.5,0.5,0.2,0.001,50,2,15,1
60,1.5,0.5,0.2,0.001,50,3,15,1
60,1.5,0.5,0.2,0.001,50,4,23,1
60,1.5,0.5,0.2,0.001,50,5,15,1
60,1.5,0.5,0.2,0.001,50,6,15,1
60,1.5,0.5,0.2,0.001,50,7,36,1
60,1.5,0.5,0.2,0.001,50,8,9,1
60,1.5,0.5,0.2,0.001,50,9,9,1
60,1.5,0.5,0.2,0.001,50,10,23,1
60,1.5,0.5,0.2,0.001,50,11,23,1
60,1.5,0.5,0.2,0.001,50,12,15,1
60,1.5,0.5,0.2,0.001,50,13,15,1
60,1.5,0.5,0.2,0.001,50,14,15,1
60,1.5,0.5,0.2,0.001,50,15,15,1
60,1.5,0.5,0.2,0.001,50,16,23,1
60,1.5,0.5,0.2,0.001,50,17,15,1
60,1.5,0.5,0.2,0.001,50,18,23,1
60,1.5,0.5,0.2,0.001,50,19,15,1
60,1.5,0.5,0.2,0.001,50,20,23,1
60,1.5,0.5,0.2,0.001,50,21,15,1
60,1.5,0.5,0.2,0.001,50,22,15,1
60,1.5,0.5,0.2,0.001,50,23,23,1
60,1.5,0.5,0.2,0.001,50,24,15,1
60,1.5,0.5,0.2,0.001,50,25,15,1
60,1.5,0.5,0.2,0.001,50,26,15,1
60,1.5,0.5,0.2,0.001,50,27,23,1
60,1.5,0.5,0.2,0.001,50,28,15,1
60,1.5,0.5,0.2,0.001,50,29,15,1
60,1.5,0.5,0.2,0.001,50,30,15,1
60,1.5,0.5,0.2,0.001,50,31,15,1
60,1.5,0.5,0.2,0.001,50,32,15,1
60,1.5,0.5,0.2,0.001,50,33,23,1
60,1.5,0.5,0.2,0.001,50,34,23,1
60,1.5,0.5,0.2,0.001,50,35,15,1
60,1.5,0.5,0.2,0.001,50,36,15,1
60,1.5,0.5,0.2,0.001,50,37,23,1
60,1.5,0.5,0.2,0.001,50,38,23,1
60,1.5,0.5,0.2,0.001,50,39,23,1
60,1.5,0.5,0.2,0.001,50,40,15,1
60,1.5,0.5,0.2,0.001,50,41,15,1
60,1.5,0.5,0.2,0.001,50,42,15,1
60,1.5,0.5,0.2,0.001,50,43,23,1
60,1.5,0.5,0.2,0.001,50,44,15,1
