"mu","sigma","item_overlap","class_overlap","add_k","zipf_s","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","frac_tie","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","frac_ow_lt_ob_ci_lo","frac_ow_lt_ob_ci_hi","mean_ob_nobs_ci_lo","mean_ob_nobs_ci_hi","mean_ow_nobs_ci_lo","mean_ow_nobs_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
100,1,0.5,0.3,5,1,50,1,0.14,0.52,0.34,40181.02,24106,30380.8724105837,0,50,0.960588413549899,0.751363495109162,7,0.0695083342701629,0.261861937105855,0.385117448900446,0.652028647134219,31546.8715936951,48815.1684063049,24106,24106,0.265693079656807,1.65548374744299
100,1,0.5,0.3,5,1.5,50,1,0.06,0.9,0.04,63680.1,23931.82,35083.5094050391,1231.63859147073,50,0.44828808691837,0,3,0.020614970348974,0.162170916888382,0.786397685625204,0.95652423506811,53709.476947333,73650.723052667,23581.7921851968,24281.8478148032,0.44828808691837,0.44828808691837
100,1,0.5,0.3,10,0.5,50,1,0.8,0.06,0.14,32942.06,59088,22646.759951535,0,50,1.16550076673588,0.929179108111863,40,0.669628940677746,0.887562499842239,0.020614970348974,0.162170916888382,26505.9220346071,39378.1979653929,59088,59088,0.868334871289867,1.46266666218189
100,1,0.5,0.3,10,1,50,1,0.4,0.34,0.26,58981.24,44572.04,51698.0297001733,10058.9640902926,50,0.874153737317312,0.492683724519756,20,0.276083897302565,0.538185622524106,0.224369492225001,0.478461739497674,44288.8225238859,73673.6574761141,41713.3140359944,47430.7659640056,0.643570656433443,1.10473681820118
100,1,0.5,0.3,10,1.5,50,1,0.08,0.76,0.16,86813.54,37741,64028.8625910413,0,50,0.672430307967716,0.258819247656823,4,0.031549514088593,0.188382469183428,0.625873162420571,0.857026086030083,68616.7385906579,105010.341409342,37741,37741,0.260591128746833,1.0842694871886
100,1,0.5,0.4,0.001,0.5,50,1,0,1,0,3174.24,71,1233.37131406862,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,2823.71975088306,3524.76024911694,71,71,NA,NA
100,1,0.5,0.4,0.001,1,50,1,0,1,0,7446.06,71,3629.53322129579,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,6414.55807159045,8477.56192840955,71,71,NA,NA
100,1,0.5,0.4,0.001,1.5,50,1,0,0.98,0.02,22247.6,71,14313.0391487437,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.895045564103622,0.996460740728354,18179.8792813398,26315.3207186602,71,71,NA,NA
100,1,0.5,0.4,0.01,0.5,50,1,0,1,0,3784.6,71,1083.4084725381,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,3476.69871888724,4092.50128111276,71,71,NA,NA
100,1,0.5,0.4,0.01,1,50,1,0,1,0,7421.56,71,2041.46897050899,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,6841.38093798924,8001.73906201076,71,71,NA,NA
100,1,0.5,0.4,0.01,1.5,50,1,0,0.98,0.02,20759.46,71,6795.0859020865,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.895045564103622,0.996460740728354,18828.3179538036,22690.6020461963,71,71,NA,NA
100,1,0.5,0.4,0.1,0.5,50,1,0,1,0,10989.88,174,3839.17980526347,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,9898.79717166141,12080.9628283386,174,174,NA,NA
100,1,0.5,0.4,0.1,1,50,1,0,1,0,24431.36,174,8566.10527736247,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,21996.8998163282,26865.8201836718,174,174,NA,NA
100,1,0.5,0.4,0.1,1.5,50,1,0.02,0.98,0,62202.5,205.36,25329.3187233647,46.1787830069178,50,0.896375422173214,NA,1,0.00353925927164624,0.104954435896378,0.895045564103622,0.996460740728354,55003.9872669706,69401.0127330294,192.236135078814,218.483864921186,NA,NA
100,1,0.5,0.4,0.5,0.5,50,1,0.02,0.98,0,29361.06,1637,13016.0951469278,0,50,1.34383656414251,NA,1,0.00353925927164624,0.104954435896378,0.895045564103622,0.996460740728354,25661.9266884099,33060.1933115901,1637,1637,NA,NA
100,1,0.5,0.4,0.5,1,50,1,0,1,0,81151.82,1637,37383.3634130074,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,70527.5856701692,91776.0543298308,1637,1637,NA,NA
100,1,0.5,0.4,0.5,1.5,50,0.98,0.02,0.96,0,199410.326530612,1637,108363.095026126,0,49,3.13794070032982,NA,1,0.00353925927164624,0.104954435896378,0.86539909312493,0.98896111567238,168284.811487288,230535.841573936,1637,1637,NA,NA
100,1,0.5,0.4,1,0.5,50,1,0.02,0.96,0.02,48986.68,4012,25535.0510614691,0,50,2.2402611358532,NA,1,0.00353925927164624,0.104954435896378,0.86539909312493,0.98896111567238,41729.6987834076,56243.6612165924,4012,4012,NA,NA
100,1,0.5,0.4,1,1,50,1,0,0.98,0.02,138024.66,4012,77842.161103411,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.895045564103622,0.996460740728354,115902.162589419,160147.157410581,4012,4012,NA,NA
100,1,0.5,0.4,1,1.5,50,0.68,0.02,0.66,0,232261.794117647,4012,106693.227777126,0,34,4.03436527204051,NA,1,0.00353925927164624,0.104954435896378,0.521538260502326,0.775630507774999,195034.767045326,269488.821189968,4012,4012,NA,NA
100,1,0.5,0.4,3,0.5,50,1,0.08,0.9,0.02,118760.56,15397,71923.9056861444,0,50,1.56868407092187,1.39325494316759,4,0.031549514088593,0.188382469183428,0.786397685625204,0.95652423506811,98320.0121690263,139201.107830974,15397,15397,-0.64829545217911,3.78566359402285
100,1,0.5,0.4,3,1,50,0.68,0.04,0.64,0,225618.058823529,15397,108526.737933196,0,34,0.896554024277426,0.634032656451628,2,0.0110388843276198,0.13460090687507,0.501410168761127,0.758612503481533,187751.289814072,263484.827832986,15397,15397,-4.80000338164691,6.59311143020177
100,1,0.5,0.4,3,1.5,50,0.26,0.02,0.24,0,265012.692307692,11546.3846153846,132308.633113631,2671.89837439168,13,5.3792480871886,NA,1,0.00353925927164624,0.104954435896378,0.142973913969917,0.374126837579429,185059.38550952,344965.999105864,9931.77258717473,13160.9966435945,NA,NA
100,1,0.5,0.4,5,0.5,50,0.98,0.1,0.86,0.02,183460.653061224,24106,112140.736454903,0,49,1.70323534365586,1.39571610486105,5,0.0434757649318904,0.213602314374797,0.738138062894145,0.930491665729837,151250.072709537,215671.233412911,24106,24106,-0.0297750954632954,3.43624578277502
100,1,0.5,0.4,5,1,50,0.44,0.04,0.4,0,230614.363636364,24106,122928.94954076,0,22,1.3448421111958,0.634032656451628,2,0.0110388843276198,0.13460090687507,0.276083897302565,0.538185622524106,176110.720788204,285118.006484523,24106,24106,-4.35171529472854,7.04139951712014
100,1,0.5,0.4,5,1.5,50,0.12,0.02,0.1,0,208347.833333333,24106,164156.965883774,0,6,5.82753617410697,NA,1,0.00353925927164624,0.104954435896378,0.0434757649318904,0.213602314374797,36075.6627977114,380620.003868955,24106,24106,NA,NA
100,1,0.5,0.4,10,0.5,50,0.72,0.12,0.58,0.02,222777.333333333,59088,123053.953082145,0,36,1.79294333040833,1.7927471387263,6,0.0561760015093228,0.23804817383203,0.442334417685782,0.70624996645288,181141.865707565,264412.800959101,59088,59088,-0.0884294102925995,3.67431607110926
100,1,0.5,0.4,10,1,50,0.16,0.04,0.12,0,178258.75,43077.75,136559.037735908,9881.74083492233,8,1.34482737884804,0.633925510753778,2,0.0110388843276198,0.13460090687507,0.0561760015093228,0.23804817383203,64092.5374151597,292424.96258484,34816.4079198823,51339.0920801177,-4.35076736117512,7.0404221188712
100,1,0.5,0.4,10,1.5,50,0.06,0.02,0.04,0,79137,37741,73300.9175317745,0,3,6.2758224386155,NA,1,0.00353925927164624,0.104954435896378,0.0110388843276198,0.13460090687507,-102952.573546582,261226.573546582,37741,37741,NA,NA
100,1,0.6,0.2,0.001,0.5,50,1,0,1,0,678.96,71,127.603812878865,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,642.695397630561,715.224602369439,71,71,NA,NA
100,1,0.6,0.2,0.001,1,50,1,0,1,0,1025.24,71,233.059995779312,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,959.005082057671,1091.47491794233,71,71,NA,NA
