"mu","sigma","item_overlap","class_overlap","add_k","zipf_s","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","frac_tie","mean_ob_nobs","mean_ow_nobs","mean_log_ratio"
60,0.5,0.7,0.2,0.01,0.5,50,1,0,1,0,970.4,71,NA
100,0.5,0.7,0.2,0.01,0.5,50,1,0,1,0,872.12,71,NA
10,1,0.7,0.2,0.01,0.5,50,1,0,1,0,3018.62,71,NA
30,1,0.7,0.2,0.01,0.5,50,1,0,1,0,1424.24,71,NA
60,1,0.7,0.2,0.01,0.5,50,1,0,1,0,1016.72,71,NA
100,1,0.7,0.2,0.01,0.5,50,1,0,1,0,932.6,71,NA
10,1.5,0.7,0.2,0.01,0.5,50,1,0,1,0,4061.66,71,NA
30,1.5,0.7,0.2,0.01,0.5,50,1,0,1,0,1823.78,71,NA
60,1.5,0.7,0.2,0.01,0.5,50,1,0,1,0,1314.56,71,NA
100,1.5,0.7,0.2,0.01,0.5,50,1,0,1,0,1129.7,71,NA
10,0.5,0.5,0.3,0.01,0.5,50,1,0,1,0,5318.72,71,NA
30,0.5,0.5,0.3,0.01,0.5,50,1,0,1,0,2360.3,71,NA
60,0.5,0.5,0.3,0.01,0.5,50,1,0,1,0,1786,71,NA
100,0.5,0.5,0.3,0.01,0.5,50,1,0,1,0,1536.2,71,NA
10,1,0.5,0.3,0.01,0.5,50,1,0,1,0,6503.76,71,NA
30,1,0.5,0.3,0.01,0.5,50,1,0,1,0,2707.02,71,NA
60,1,0.5,0.3,0.01,0.5,50,1,0,1,0,2204.08,71,NA
100,1,0.5,0.3,0.01,0.5,50,1,0,1,0,1879.8,71,NA
10,1.5,0.5,0.3,0.01,0.5,50,0.64,0,0.64,0,38292.84375,71,NA
30,1.5,0.5,0.3,0.01,0.5,50,1,0,1,0,4013.7,71,NA
60,1.5,0.5,0.3,0.01,0.5,50,1,0,1,0,3013.98,71,NA
100,1.5,0.5,0.3,0.01,0.5,50,1,0,1,0,2614.42,71,NA
10,0.5,0.6,0.3,0.01,0.5,50,1,0,1,0,3852.44,71,NA
30,0.5,0.6,0.3,0.01,0.5,50,1,0,1,0,1655.38,71,NA
60,0.5,0.6,0.3,0.01,0.5,50,1,0,1,0,1318.82,71,NA
100,0.5,0.6,0.3,0.01,0.5,50,1,0,1,0,1138.22,71,NA
10,1,0.6,0.3,0.01,0.5,50,1,0,1,0,4467.76,71,NA
30,1,0.6,0.3,0.01,0.5,50,1,0,1,0,2136.18,71,NA
60,1,0.6,0.3,0.01,0.5,50,1,0,1,0,1478.82,71,NA
100,1,0.6,0.3,0.01,0.5,50,1,0,1,0,1370,71,NA
10,1.5,0.6,0.3,0.01,0.5,50,1,0,1,0,14636.94,71,NA
30,1.5,0.6,0.3,0.01,0.5,50,1,0,1,0,2743.22,71,NA
60,1.5,0.6,0.3,0.01,0.5,50,1,0,1,0,1996.3,71,NA
100,1.5,0.6,0.3,0.01,0.5,50,1,0,1,0,1922.22,71,NA
10,0.5,0.7,0.3,0.01,0.5,50,1,0,1,0,3221.48,71,NA
30,0.5,0.7,0.3,0.01,0.5,50,1,0,1,0,1500.1,71,NA
60,0.5,0.7,0.3,0.01,0.5,50,1,0,1,0,1047.08,71,NA
100,0.5,0.7,0.3,0.01,0.5,50,1,0,1,0,973.14,71,NA
10,1,0.7,0.3,0.01,0.5,50,1,0,1,0,3714.14,71,NA
30,1,0.7,0.3,0.01,0.5,50,1,0,1,0,1663.8,71,NA
60,1,0.7,0.3,0.01,0.5,50,1,0,0.98,0.02,1219.88,71,NA
100,1,0.7,0.3,0.01,0.5,50,1,0,1,0,1082.42,71,NA
10,1.5,0.7,0.3,0.01,0.5,50,1,0,1,0,5345.02,71,NA
30,1.5,0.7,0.3,0.01,0.5,50,1,0,1,0,2322.24,71,NA
60,1.5,0.7,0.3,0.01,0.5,50,1,0,1,0,1690.6,71,NA
100,1.5,0.7,0.3,0.01,0.5,50,1,0,1,0,1470.96,71,NA
10,0.5,0.5,0.4,0.01,0.5,50,1,0,1,0,157650.14,71,NA
30,0.5,0.5,0.4,0.01,0.5,50,1,0,1,0,4276.28,71,NA
60,0.5,0.5,0.4,0.01,0.5,50,1,0,1,0,3226.26,71,NA
100,0.5,0.5,0.4,0.01,0.5,50,1,0,1,0,2793.96,71,NA
10,1,0.5,0.4,0.01,0.5,50,0.42,0,0.42,0,128944.80952381,71,NA
30,1,0.5,0.4,0.01,0.5,50,1,0,1,0,6392.52,71,NA
60,1,0.5,0.4,0.01,0.5,50,1,0,1,0,4385.6,71,NA
100,1,0.5,0.4,0.01,0.5,50,1,0,1,0,3784.6,71,NA
10,1.5,0.5,0.4,0.01,0.5,50,0.06,0,0.06,0,121754,71,NA
30,1.5,0.5,0.4,0.01,0.5,50,0.8,0,0.8,0,16433.775,71,NA
60,1.5,0.5,0.4,0.01,0.5,50,1,0,1,0,9623.1,71,NA
100,1.5,0.5,0.4,0.01,0.5,50,1,0,1,0,6993.34,71,NA
10,0.5,0.6,0.4,0.01,0.5,50,1,0,1,0,5354.26,71,NA
30,0.5,0.6,0.4,0.01,0.5,50,1,0,1,0,2414.84,71,NA
60,0.5,0.6,0.4,0.01,0.5,50,1,0,1,0,1805.26,71,NA
100,0.5,0.6,0.4,0.01,0.5,50,1,0,1,0,1574.36,71,NA
10,1,0.6,0.4,0.01,0.5,50,1,0,1,0,7044.62,71,NA
30,1,0.6,0.4,0.01,0.5,50,1,0,1,0,2766.9,71,NA
60,1,0.6,0.4,0.01,0.5,50,1,0,1,0,2206,71,NA
100,1,0.6,0.4,0.01,0.5,50,1,0,1,0,1909.68,71,NA
10,1.5,0.6,0.4,0.01,0.5,50,0.62,0,0.62,0,25733.4193548387,71,NA
30,1.5,0.6,0.4,0.01,0.5,50,1,0,1,0,4129.44,71,NA
60,1.5,0.6,0.4,0.01,0.5,50,1,0,1,0,3342,71,NA
100,1.5,0.6,0.4,0.01,0.5,50,1,0,1,0,2757.48,71,NA
10,0.5,0.7,0.4,0.01,0.5,50,1,0,1,0,3957.9,71,NA
30,0.5,0.7,0.4,0.01,0.5,50,1,0,1,0,1805.26,71,NA
60,0.5,0.7,0.4,0.01,0.5,50,1,0,1,0,1412.42,71,NA
100,0.5,0.7,0.4,0.01,0.5,50,1,0,1,0,1144.82,71,NA
10,1,0.7,0.4,0.01,0.5,50,1,0,1,0,4498.84,71,NA
30,1,0.7,0.4,0.01,0.5,50,1,0,1,0,2162.26,71,NA
60,1,0.7,0.4,0.01,0.5,50,1,0,1,0,1577.9,71,NA
100,1,0.7,0.4,0.01,0.5,50,1,0,1,0,1412.42,71,NA
10,1.5,0.7,0.4,0.01,0.5,50,1,0,1,0,7642.14,71,NA
30,1.5,0.7,0.4,0.01,0.5,50,1,0,1,0,2969.76,71,NA
60,1.5,0.7,0.4,0.01,0.5,50,1,0,1,0,2204.64,71,NA
100,1.5,0.7,0.4,0.01,0.5,50,1,0,1,0,1812.12,71,NA
10,0.5,0.5,0.2,0.1,0.5,50,1,0,1,0,9647.48,174,NA
30,0.5,0.5,0.2,0.1,0.5,50,1,0,1,0,3633.9,174,NA
60,0.5,0.5,0.2,0.1,0.5,50,1,0,1,0,2478.14,174,NA
100,0.5,0.5,0.2,0.1,0.5,50,1,0,1,0,2131.92,174,NA
10,1,0.5,0.2,0.1,0.5,50,1,0,1,0,13360.48,174,NA
30,1,0.5,0.2,0.1,0.5,50,1,0,1,0,5240.3,174,NA
60,1,0.5,0.2,0.1,0.5,50,1,0,1,0,3505.42,174,NA
100,1,0.5,0.2,0.1,0.5,50,1,0,1,0,2719.4,174,NA
10,1.5,0.5,0.2,0.1,0.5,50,1,0,1,0,20556.16,174,NA
30,1.5,0.5,0.2,0.1,0.5,50,1,0,1,0,8881.64,174,NA
60,1.5,0.5,0.2,0.1,0.5,50,1,0,1,0,6071.94,174,NA
100,1.5,0.5,0.2,0.1,0.5,50,1,0,1,0,4761.18,174,NA
10,0.5,0.6,0.2,0.1,0.5,50,1,0,1,0,7754.52,174,NA
30,0.5,0.6,0.2,0.1,0.5,50,1,0,1,0,2880.42,174,NA
60,0.5,0.6,0.2,0.1,0.5,50,1,0,1,0,1860.82,174,NA
100,0.5,0.6,0.2,0.1,0.5,50,1,0,1,0,1560.96,174,NA
10,1,0.6,0.2,0.1,0.5,50,1,0,1,0,9547.44,174,NA
30,1,0.6,0.2,0.1,0.5,50,1,0,1,0,3558.78,174,NA
60,1,0.6,0.2,0.1,0.5,50,1,0,1,0,2352.8,174,NA
100,1,0.6,0.2,0.1,0.5,50,1,0,1,0,1978.64,174,NA
10,1.5,0.6,0.2,0.1,0.5,50,1,0,1,0,15469.36,174,NA
30,1.5,0.6,0.2,0.1,0.5,50,1,0,1,0,5851.56,174,NA
60,1.5,0.6,0.2,0.1,0.5,50,1,0,1,0,3791.02,174,NA
100,1.5,0.6,0.2,0.1,0.5,50,1,0,1,0,3288.54,174,NA
10,0.5,0.7,0.2,0.1,0.5,50,1,0,1,0,5867.98,174,NA
30,0.5,0.7,0.2,0.1,0.5,50,1,0,1,0,2261.56,174,NA
60,0.5,0.7,0.2,0.1,0.5,50,1,0,1,0,1503.68,174,NA
100,0.5,0.7,0.2,0.1,0.5,50,1,0,1,0,1220,174,NA
10,1,0.7,0.2,0.1,0.5,50,1,0,1,0,7587.24,174,NA
30,1,0.7,0.2,0.1,0.5,50,1,0,1,0,2767.94,174,NA
60,1,0.7,0.2,0.1,0.5,50,1,0,1,0,1859.96,174,NA
100,1,0.7,0.2,0.1,0.5,50,1,0,1,0,1523.78,174,NA
10,1.5,0.7,0.2,0.1,0.5,50,1,0,1,0,12587.78,174,NA
30,1.5,0.7,0.2,0.1,0.5,50,1,0,1,0,4363.44,174,NA
60,1.5,0.7,0.2,0.1,0.5,50,1,0,1,0,2701.92,174,NA
100,1.5,0.7,0.2,0.1,0.5,50,1,0,1,0,2256.12,174,NA
10,0.5,0.5,0.3,0.1,0.5,50,1,0,1,0,12973.6,174,NA
30,0.5,0.5,0.3,0.1,0.5,50,1,0,1,0,5169.96,174,NA
60,0.5,0.5,0.3,0.1,0.5,50,1,0.02,0.98,0,3499.58,174,0.449525097902195
100,0.5,0.5,0.3,0.1,0.5,50,1,0,1,0,2927.04,174,NA
10,1,0.5,0.3,0.1,0.5,50,1,0,1,0,16021.3,174,NA
30,1,0.5,0.3,0.1,0.5,50,1,0,1,0,7071.54,174,NA
60,1,0.5,0.3,0.1,0.5,50,1,0,1,0,5046.86,174,NA
100,1,0.5,0.3,0.1,0.5,50,1,0,1,0,4010.24,174,NA
10,1.5,0.5,0.3,0.1,0.5,50,0.68,0,0.68,0,28396.1470588235,174,NA
30,1.5,0.5,0.3,0.1,0.5,50,1,0,1,0,13348.8,174,NA
60,1.5,0.5,0.3,0.1,0.5,50,1,0,1,0,9255.06,174,NA
100,1.5,0.5,0.3,0.1,0.5,50,1,0,1,0,7871.8,174,NA
10,0.5,0.6,0.3,0.1,0.5,50,1,0,1,0,9266.52,174,NA
30,0.5,0.6,0.3,0.1,0.5,50,1,0,1,0,3377.02,174,NA
60,0.5,0.6,0.3,0.1,0.5,50,1,0,1,0,2300.14,174,NA
100,0.5,0.6,0.3,0.1,0.5,50,1,0,1,0,1902.84,174,NA
10,1,0.6,0.3,0.1,0.5,50,1,0,1,0,12402.82,174,NA
30,1,0.6,0.3,0.1,0.5,50,1,0,1,0,4644.3,174,NA
60,1,0.6,0.3,0.1,0.5,50,1,0,1,0,3147.72,174,NA
100,1,0.6,0.3,0.1,0.5,50,1,0,1,0,2578.94,174,NA
10,1.5,0.6,0.3,0.1,0.5,50,1,0,1,0,20176.5,174,NA
30,1.5,0.6,0.3,0.1,0.5,50,1,0,1,0,7569.78,174,NA
60,1.5,0.6,0.3,0.1,0.5,50,1,0,1,0,5488,174,NA
100,1.5,0.6,0.3,0.1,0.5,50,1,0,1,0,4271.04,174,NA
10,0.5,0.7,0.3,0.1,0.5,50,1,0,1,0,7186.04,174,NA
30,0.5,0.7,0.3,0.1,0.5,50,1,0.02,0.98,0,2613.76,174,0.449525097902195
60,0.5,0.7,0.3,0.1,0.5,50,1,0.02,0.98,0,1757.8,174,0.449525097902195
100,0.5,0.7,0.3,0.1,0.5,50,1,0,1,0,1572.78,174,NA
10,1,0.7,0.3,0.1,0.5,50,1,0,1,0,9554.84,174,NA
30,1,0.7,0.3,0.1,0.5,50,1,0,1,0,3482.3,174,NA
60,1,0.7,0.3,0.1,0.5,50,1,0.02,0.98,0,2393.98,174,0.896375422173214
100,1,0.7,0.3,0.1,0.5,50,1,0,1,0,1911.26,174,NA
10,1.5,0.7,0.3,0.1,0.5,50,1,0,1,0,15489.22,174,NA
30,1.5,0.7,0.3,0.1,0.5,50,1,0,1,0,5730.56,174,NA
60,1.5,0.7,0.3,0.1,0.5,50,1,0,1,0,3893.64,174,NA
100,1.5,0.7,0.3,0.1,0.5,50,1,0,1,0,3144.44,174,NA
10,0.5,0.5,0.4,0.1,0.5,50,1,0,1,0,21431.02,174,NA
30,0.5,0.5,0.4,0.1,0.5,50,1,0,1,0,10065,174,NA
60,0.5,0.5,0.4,0.1,0.5,50,1,0,1,0,7404.5,174,NA
100,0.5,0.5,0.4,0.1,0.5,50,1,0,1,0,5758.9,174,NA
10,1,0.5,0.4,0.1,0.5,50,0.62,0,0.62,0,83775.1290322581,174,NA
30,1,0.5,0.4,0.1,0.5,50,1,0,1,0,17123.22,174,NA
60,1,0.5,0.4,0.1,0.5,50,1,0,1,0,12497.76,174,NA
100,1,0.5,0.4,0.1,0.5,50,1,0,1,0,10989.88,174,NA
10,1.5,0.5,0.4,0.1,0.5,50,0.1,0,0.1,0,51284,174,NA
30,1.5,0.5,0.4,0.1,0.5,50,0.76,0,0.76,0,38122,174,NA
60,1.5,0.5,0.4,0.1,0.5,50,1,0,1,0,30194.94,174,NA
